DN,objectClass,distinguishedName,sAMAccountName,sn,givenname,userPrincipalName,description,mail,telephoneNumber,wWWHomePage
"CN=Pericles Rodolfo,OU=INFRA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Pericles Rodolfo,OU=INFRA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",adm.rodolfo.pericles,Pericles,Rodolfo,Rodolfo Pericles,Anl Infra II,adm.rodolfo.pericles@popovici.lab,1198563-8568,www.eduardopopovici.com
"CN=Lira Adan,OU=DIRETORIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Lira Adan,OU=DIRETORIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",adan.lira,Lira,Adan,Adan Lira,Diretor de TI,adan.lira@popovici.lab,1198563-8569,www.eduardopopovici.com
"CN=Ranolfo Emerson,OU=RH,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Ranolfo Emerson,OU=RH,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",emerson.ranolfo,Ranolfo,Emerson,Emerson Ranolfo,Analista de RH,emerson.ranolfo@popovici.lab,1198563-8570,www.eduardopopovici.com
"CN=Simpson Liza,OU=DP,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Simpson Liza,OU=DP,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",liza.simpson,Simpson,Liza,Liza Simpson,Analista de DP,liza.simpson@popovici.lab,1198563-8571,www.eduardopopovici.com
"CN=Lima Epaminondas,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Lima Epaminondas,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",epaminondas.lima,Lima,Epaminondas,Epaminondas Lima,Vendedor,epaminondas.lima@popovici.lab,1198563-8572,www.eduardopopovici.com
"CN=Limeira Joanesio,OU=ENGENHARIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Limeira Joanesio,OU=ENGENHARIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",joanesio.limeira,Limeira,Joanesio,Joanesio Limeira,Engenheiro I,joanesio.limeira@popovici.lab,1198563-8573,www.eduardopopovici.com
"CN=Lucia Ana,OU=ENGENHARIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Lucia Ana,OU=ENGENHARIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",ana.lucia,Lucia,Ana,Ana Lucia,Estagiario,ana.lucia@popovici.lab,1198563-8574,www.eduardopopovici.com
"CN=Paulo Pedro,OU=N1,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Paulo Pedro,OU=N1,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",pedro.paulo,Paulo,Pedro,Pedro Paulo,Analista de Suporte,pedro.paulo@popovici.lab,1198563-8575,www.eduardopopovici.com
"CN=Paulo Pedro,OU=N1,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Paulo Pedro,OU=N1,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",adm.pedro.paulo,Paulo,Pedro,Pedro Paulo,Analista de Suporte,adm.pedro.paulo@popovici.lab,1198563-8576,www.eduardopopovici.com
"CN=Barbosa Alison,OU=N2,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Barbosa Alison,OU=N2,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",alison.barbosa,Barbosa,Alison,Alison Barbosa,Analista de Suporte,alison.barbosa@popovici.lab,1198563-8577,www.eduardopopovici.com
"CN=Carvalho Erica,OU=DP,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Carvalho Erica,OU=DP,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",erica.carvalho,Carvalho,Erica,Erica Carvalho,Analista de DP,erica.carvalho@popovici.lab,1198563-8578,www.eduardopopovici.com
"CN=Paula Ana,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Paula Ana,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",ana.paula,Paula,Ana,Ana Paula,Coordenador,ana.paula@popovici.lab,1198563-8579,www.eduardopopovici.com
"CN=Luiza Maria,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Luiza Maria,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",maria.luiza,Luiza,Maria,Maria Luiza,Vendedor,maria.luiza@popovici.lab,1198563-8580,www.eduardopopovici.com
"CN=Palermo Ranieri,OU=DIRETORIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Palermo Ranieri,OU=DIRETORIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",ranieri.palermo,Palermo,Ranieri,Ranieri Palermo,Diretor Geral,ranieri.palermo@popovici.lab,1198563-8581,www.eduardopopovici.com
"CN=Liso Pablo,OU=ZELADORIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Liso Pablo,OU=ZELADORIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",pablo.liso,Liso,Pablo,Pablo Liso,Zelador,pablo.liso@popovici.lab,1198563-8582,www.eduardopopovici.com
"CN=Souza Renato,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Souza Renato,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",renato.souza,Souza,Renato,Renato Souza,Vendedor,renato.souza@popovici.lab,1198563-8583,www.eduardopopovici.com
"CN=Andrade Pamela,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Andrade Pamela,OU=VENDAS,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",pamela.andrade,Andrade,Pamela,Pamela Andrade,Vendedor,pamela.andrade@popovici.lab,1198563-8584,www.eduardopopovici.com
